indicators_code,frequency,factor_version
M0062541,daily,V1.0
M0067855,daily,V1.0
M0068008,daily,V1.0
M0100612,daily,V1.0
M0101227,daily,V1.0
BBIB1Y0D,daily,V1.0
M0101385,daily,V1.0
M0109973,daily,V1.0
M0117126,daily,V1.0
M0143821,daily,V1.0
M0161518,daily,V1.0
BBIB5Y0D,daily,V1.0
BIAS10YD,daily,V1.0
M0290205,daily,V1.0
BIAS1Y0D,daily,V1.0
M0331438,daily,V1.0
M0331439,daily,V1.0
M0331440,daily,V1.0
M0331441,daily,V1.0
M0331442,daily,V1.0
M0331443,daily,V1.0
M0331444,daily,V1.0
M0332208,daily,V1.0
M0342074,daily,V1.0
BIAS5Y0D,daily,V1.0
M0417126,daily,V1.0
M0717126,daily,V1.0
M1000047,daily,V1.0
M1000051,daily,V1.0
M1000170,daily,V1.0
M1001646,daily,V1.0
M1001650,daily,V1.0
M1001654,daily,V1.0
M1001657,daily,V1.0
M1004260,daily,V1.0
M1004263,daily,V1.0
M1004264,daily,V1.0
M1004265,daily,V1.0
M1004267,daily,V1.0
AGSHF01C,daily,V1.0
BIASB0YD,daily,V1.0
M1004269,daily,V1.0
M1004271,daily,V1.0
M1004272,daily,V1.0
M1004273,daily,V1.0
M1004274,daily,V1.0
M1004275,daily,V1.0
M1004533,daily,V1.0
M1004552,daily,V1.0
M1004556,daily,V1.0
M1004902,daily,V1.0
M1004916,daily,V1.0
M1005177,daily,V1.0
M1005182,daily,V1.0
M1006336,daily,V1.0
M1006337,daily,V1.0
M1007666,daily,V1.0
M1007670,daily,V1.0
M1007675,daily,V1.0
M1007711,daily,V1.0
BIASB1YD,daily,V1.0
M1329545,daily,V1.0
M1341115,daily,V1.0
M1525763,daily,V1.0
BIASB5YD,daily,V1.0
M5216731,daily,V1.0
MACD10YD,daily,V1.0
MACD1Y0D,daily,V1.0
MACD5Y0D,daily,V1.0
MACDC0YD,daily,V1.0
MACDC1YD,daily,V1.0
MACDC5YD,daily,V1.0
MACDD0YD,daily,V1.0
MACDD1YD,daily,V1.0
MACDD5YD,daily,V1.0
MACDG0YD,daily,V1.0
MACDG1YD,daily,V1.0
MACDG5YD,daily,V1.0
N2691645,daily,V1.0
NISHF01C,daily,V1.0
O5234559,daily,V1.0
P2562056,daily,V1.0
P2995878,daily,V1.0
PBSHF01C,daily,V1.0
RBSHF01C,daily,V1.0
RSI010YD,daily,V1.0
RSI01Y0D,daily,V1.0
RSI05Y0D,daily,V1.0
RSI10Y0D,daily,V1.0
RSI1Y00D,daily,V1.0
RSI5Y00D,daily,V1.0
AGUIDC0C,daily,V1.0
RSI710YD,daily,V1.0
RSI71Y0D,daily,V1.0
RSI75Y0D,daily,V1.0
RSIB10YD,daily,V1.0
RSIB1Y0D,daily,V1.0
CCI10Y0D,daily,V1.0
RSIB5Y0D,daily,V1.0
RSV10Y0D,daily,V1.0
RSV1Y00D,daily,V1.0
RSV5Y00D,daily,V1.0
